Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (â‚¹ Cr)
22-DEC-2023,6926.45,6996.4,6902.75,6967.75,461200565,7482.99
26-DEC-2023,6994,7001.15,6945.8,6968,314696945,5171.02
27-DEC-2023,7009.05,7022.05,6936.3,7002.05,278709522,4649.05
28-DEC-2023,7039.75,7082.3,7023.45,7077.05,499366176,8624.64
29-DEC-2023,7113.75,7145.2,7066.3,7132.1,429370499,7856.76
01-JAN-2024,7154.15,7200.3,7149.35,7174.2,292458221,5227.67
02-JAN-2024,7192.8,7217.2,7077.4,7154.7,289058030,5411
03-JAN-2024,7155.05,7179.5,7101,7159.05,287613571,4481.54
04-JAN-2024,7201.95,7256.15,7199.2,7231.15,399155643,6329.65
05-JAN-2024,7272.15,7297.45,7213.8,7292.2,337401799,5548.71
08-JAN-2024,7331.2,7337.3,7237.3,7259.6,302862976,5039.61
09-JAN-2024,7322.1,7340.5,7271.6,7290.25,434299640,4771.53
10-JAN-2024,7309.35,7312.5,7215.6,7275.85,312698742,5511.55
11-JAN-2024,7308.55,7321.75,7276.05,7310.6,293661052,5870.34
12-JAN-2024,7355.65,7406.05,7332.55,7369.65,328054311,5412.18
15-JAN-2024,7422.95,7444.65,7332.65,7373.55,332342490,5183.07
16-JAN-2024,7367.1,7383.55,7243.9,7316.85,442038798,7634.51
17-JAN-2024,7240.15,7321.05,7190.4,7206.1,342540157,5643.05
18-JAN-2024,7196.35,7237.5,6993.9,7187.4,397681728,6101.58
19-JAN-2024,7252.75,7302.4,7235.2,7244.65,371309932,5101.74
20-JAN-2024,7273.35,7289.45,7233.05,7249.35,499717150,5451.49